"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-06-30","15:15:00",6196.31,"1 Jun 30 6220 C STO 1.10 | 1 Jun 30 6230 C BTO 0.50",60,6204.95,"2025-06-30","16:00:00",0,"Expired",60,1,22615,940,"",2.2,1,16.72,16.62,20.29,2.95,100,-108.33
"2025-06-27","15:15:00",6146.46,"1 Jun 27 6165 C STO 0.40 | 1 Jun 27 6175 C BTO 0.15",25,6173.07,"2025-06-27","16:00:00",807,"Expired",-782,1,22555,975,"",2.67,73,16.66,16.28,9.68,-4.24,60,-3128
"2025-06-26","15:15:00",6137.91,"1 Jun 26 6150 C STO 0.40 | 1 Jun 26 6160 C BTO 0.15",25,6141.02,"2025-06-26","16:00:00",0,"Expired",25,1,23337,975,"",2.67,1,16.44,16.43,19.93,25.82,100,-60
"2025-06-25","15:15:00",6095.84,"1 Jun 25 6110 C STO 0.40 | 1 Jun 25 6120 C BTO 0.15",25,6092.16,"2025-06-25","16:00:00",0,"Expired",25,1,23312,975,"",2.67,1,16.87,16.69,12.05,-8.39,100,-20
"2025-06-24","15:15:00",6099.07,"1 Jun 24 6110 C STO 0.65 | 1 Jun 24 6120 C BTO 0.20",45,6092.18,"2025-06-24","16:00:00",0,"Expired",45,1,23287,955,"",3.25,1,17.36,17.54,36.04,37.86,100,-33.33
"2025-06-23","15:15:00",6013.15,"1 Jun 23 6030 C STO 0.40 | 1 Jun 23 6040 C BTO 0.15",25,6025.17,"2025-06-23","16:00:00",0,"Expired",25,1,23242,975,"",2.67,1,20.16,19.91,1.83,43.48,100,-180
"2025-06-20","15:15:00",5960.46,"1 Jun 20 5980 C STO 0.50 | 1 Jun 20 5990 C BTO 0.20",30,5967.84,"2025-06-20","16:00:00",0,"Expired",30,1,23217,970,"",2.5,1,20.81,20.59,18.8,-39.21,100,0
"2025-06-18","15:15:00",5990.19,"1 Jun 18 6020 C STO 0.85 | 1 Jun 18 6030 C BTO 0.30",55,5980.87,"2025-06-18","16:00:00",0,"Expired",55,1,23187,945,"",2.83,1,20.2,20.27,5.21,2.26,100,0
"2025-06-17","15:15:00",5985.83,"1 Jun 17 6005 C STO 0.55 | 1 Jun 17 6015 C BTO 0.20",35,5982.72,"2025-06-17","16:00:00",0,"Expired",35,1,23132,965,"",2.75,1,21.28,21.46,-20.96,-26.32,100,-42.86
"2025-06-16","15:15:00",6026.1,"1 Jun 16 6040 C STO 0.55 | 1 Jun 16 6050 C BTO 0.15",40,6033.11,"2025-06-16","16:00:00",0,"Expired",40,1,23097,960,"",3.67,1,19.39,19.1,27.03,22.1,100,-100
"2025-06-13","15:15:00",5982.28,"1 Jun 13 6005 C STO 0.75 | 1 Jun 13 6015 C BTO 0.25",50,5976.97,"2025-06-13","16:00:00",0,"Expired",50,1,23057,950,"",3,1,20.84,21.08,-44.7,-18.28,100,0
"2025-06-12","15:15:00",6041.34,"1 Jun 12 6055 C STO 0.40 | 1 Jun 12 6065 C BTO 0.10",30,6045.26,"2025-06-12","16:00:00",0,"Expired",30,1,23007,970,"",4,1,17.82,17.9,-12.34,31.44,100,-50
"2025-06-11","15:15:00",6017.49,"1 Jun 11 6040 C STO 0.60 | 1 Jun 11 6050 C BTO 0.20",40,6022.24,"2025-06-11","16:00:00",0,"Expired",40,1,22977,960,"",3,1,17.57,17.38,10.57,-31.89,100,0
"2025-06-10","15:15:00",6038.08,"1 Jun 10 6055 C STO 0.55 | 1 Jun 10 6065 C BTO 0.25",30,6038.81,"2025-06-10","16:00:00",0,"Expired",30,1,22937,970,"",2.2,1,16.83,16.73,4.03,28.17,100,0
"2025-06-09","15:15:00",6015.43,"1 Jun 9 6030 C STO 0.40 | 1 Jun 9 6040 C BTO 0.15",25,6005.88,"2025-06-09","16:00:00",0,"Expired",25,1,22907,975,"",2.67,1,16.89,17.13,4.27,10.8,100,0
"2025-06-06","15:15:00",6006.46,"1 Jun 6 6020 C STO 0.60 | 1 Jun 6 6030 C BTO 0.20",40,6000.36,"2025-06-06","16:00:00",0,"Expired",40,1,22882,960,"",3,1,16.89,16.82,47.76,19.4,100,0
"2025-06-05","15:15:00",5947.56,"1 Jun 5 5970 C STO 0.75 | 1 Jun 5 5980 C BTO 0.25",50,5939.3,"2025-06-05","16:00:00",0,"Expired",50,1,22842,950,"",3,1,18.06,18.57,14.86,-38.11,100,-60
"2025-06-04","15:15:00",5981.32,"1 Jun 4 5995 C STO 0.50 | 1 Jun 4 6005 C BTO 0.15",35,5970.81,"2025-06-04","16:00:00",0,"Expired",35,1,22792,965,"",3.33,1,17.5,17.57,8.57,2.38,100,0
"2025-06-03","15:15:00",5971.04,"1 Jun 3 5985 C STO 0.60 | 1 Jun 3 5995 C BTO 0.20",40,5970.37,"2025-06-03","16:00:00",0,"Expired",40,1,22757,960,"",3,1,17.73,17.68,2.62,32.48,100,-25
"2025-06-02","15:15:00",5929.41,"1 Jun 2 5945 C STO 0.55 | 1 Jun 2 5955 C BTO 0.20",35,5935.94,"2025-06-02","16:00:00",0,"Expired",35,1,22717,965,"",2.75,1,18.57,18.48,-15.01,32.73,100,-228.57
"2025-05-30","15:15:00",5906.8,"1 May 30 5950 C STO 1.35 | 1 May 30 5960 C BTO 0.85",50,5911.69,"2025-05-30","16:00:00",0,"Expired",50,1,22682,950,"",1.59,1,19,18.69,-8.5,3.13,100,-210
"2025-05-29","15:15:00",5897.13,"1 May 29 5920 C STO 0.70 | 1 May 29 5930 C BTO 0.25",45,5912.17,"2025-05-29","16:00:00",0,"Expired",45,1,22632,955,"",2.8,1,19.09,18.97,51.41,-42.83,100,-266.67
"2025-05-28","15:15:00",5911.37,"1 May 28 5930 C STO 0.65 | 1 May 28 5940 C BTO 0.20",45,5888.55,"2025-05-28","16:00:00",0,"Expired",45,1,22587,955,"",3.25,1,18.9,19.3,4,-14.17,100,0
"2025-05-27","15:15:00",5915.5,"1 May 27 5930 C STO 0.60 | 1 May 27 5940 C BTO 0.20",40,5921.54,"2025-05-27","16:00:00",0,"Expired",40,1,22542,960,"",3,1,19.17,18.97,51.25,61.43,100,-37.5
"2025-05-23","15:15:00",5824.19,"1 May 23 5845 C STO 0.80 | 1 May 23 5855 C BTO 0.30",50,5802.82,"2025-05-23","16:00:00",0,"Expired",50,1,22502,950,"",2.67,1,21.86,22.29,-60.12,42.3,100,0
"2025-05-22","15:15:00",5874.26,"1 May 22 5895 C STO 0.60 | 1 May 22 5905 C BTO 0.20",40,5842.01,"2025-05-22","16:00:00",0,"Expired",40,1,22452,960,"",3,1,19.73,20.23,-3.35,33,100,0
"2025-05-21","15:15:00",5847.39,"1 May 21 5875 C STO 1.05 | 1 May 21 5885 C BTO 0.50",55,5844.61,"2025-05-21","16:00:00",0,"Expired",55,1,22412,945,"",2.1,1,20.41,20.57,-30.28,-62.79,100,0
"2025-05-20","15:15:00",5922.06,"1 May 20 5945 C STO 0.60 | 1 May 20 5955 C BTO 0.25",35,5940.46,"2025-05-20","16:00:00",0,"Expired",35,1,22357,965,"",2.4,1,18.3,17.89,-18.94,-22.6,100,-200
"2025-05-19","15:15:00",5951.76,"1 May 19 5970 C STO 0.45 | 1 May 19 5980 C BTO 0.15",30,5963.6,"2025-05-19","16:00:00",0,"Expired",30,1,22322,970,"",3,1,18.12,18.04,-55.5,48.88,100,0
"2025-05-16","15:15:00",5954.75,"1 May 16 5975 C STO 0.70 | 1 May 16 5985 C BTO 0.35",35,5958.38,"2025-05-16","16:00:00",0,"Expired",35,1,22292,965,"",2,1,17.34,17.2,12.16,25.66,100,0
"2025-05-15","15:15:00",5911.04,"1 May 15 5930 C STO 0.65 | 1 May 15 5940 C BTO 0.20",45,5916.93,"2025-05-15","16:00:00",0,"Expired",45,1,22257,955,"",3.25,1,18.07,17.85,-22.76,41.22,100,-22.22
