"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Gap","Movement","Max Profit","Max Loss"
"2024-07-16","11:00:00",5650.93,"1 Jul 16 5615 P STO 1.30 | 1 Jul 16 5680 C STO 0.85",215,5667.2,"2024-07-16","16:00:00",0,"Expired",215,1,133082,110111.6,"0dte_strangle_10delta_1100",12.87,6.84,100,-46.51
"2024-07-16","11:00:00",5650.93,"1 Jul 16 5625 P STO 2.15 | 1 Jul 16 5675 C STO 1.35",350,5667.2,"2024-07-16","16:00:00",0,"Expired",350,1,132867,110611.6,"0dte_strangle_15delta_1100",12.87,6.84,100,-37.14
"2024-07-16","11:00:00",5650.93,"1 Jul 16 5630 P STO 2.85 | 1 Jul 16 5670 C STO 2.10",495,5667.2,"2024-07-16","16:00:00",0,"Expired",495,1,132517,111111.6,"0dte_strangle_20delta_1100 ",12.87,6.84,100,-38.38
"2024-07-15","15:15:00",5641.31,"1 Jul 16 5595 P STO 1.85 | 1 Jul 16 5685 C STO 1.55",340,5667.2,"2024-07-16","16:00:00",0,"Expired",340,1,132022,108457.2,"1dte_strangle_10delta_1515",22.81,3.15,100,-98.53
"2024-07-15","15:15:00",5641.31,"1 Jul 16 5605 P STO 2.85 | 1 Jul 16 5675 C STO 2.80",565,5667.2,"2024-07-16","16:00:00",0,"Expired",565,1,131682,109457.2,"1dte_strangle_15delta_1515",22.81,3.15,100,-80.53
"2024-07-15","15:15:00",5641.31,"1 Jul 16 5615 P STO 4.40 | 1 Jul 16 5675 C STO 2.80",720,5667.2,"2024-07-16","16:00:00",0,"Expired",720,1,131117,110195.2,"1dte_strangle_20delta_1515",22.81,3.15,100,-97.92
"2024-07-15","11:00:00",5655,"1 Jul 15 5620 P STO 1.40 | 1 Jul 15 5680 C STO 1.25",265,5631.22,"2024-07-15","16:00:00",0,"Expired",265,1,130397,110600,"0dte_strangle_10delta_1100",22.81,16.84,100,-109.43
"2024-07-15","11:00:00",5655,"1 Jul 15 5630 P STO 2.40 | 1 Jul 15 5675 C STO 2.00",440,5631.22,"2024-07-15","16:00:00",0,"Expired",440,1,130132,111100,"0dte_strangle_15delta_1100",22.81,16.84,100,-221.59
"2024-07-15","11:00:00",5655,"1 Jul 15 5635 P STO 3.15 | 1 Jul 15 5675 C STO 2.00",515,5631.22,"2024-07-15","16:00:00",378,"Expired",137,1,129692,111100,"0dte_strangle_20delta_1100 ",22.81,16.84,71.84,-269.9
"2024-07-12","11:00:00",5630.86,"1 Jul 12 5600 P STO 1.40 | 1 Jul 12 5655 C STO 1.20",260,5615.35,"2024-07-12","16:00:00",0,"Expired",260,1,129555,110203.2,"0dte_strangle_10delta_1100",6.22,40.1,100,-161.54
