book,open_date,pnl,prediction,fold,keep
CALLS_1DTE_1515,2025-03-24,-480.0,-505.63694621700796,7,False
CALLS_1DTE_1515,2025-03-25,495.0,-516.331039117888,7,False
CALLS_1DTE_1515,2025-03-26,490.0,-517.6490023149242,7,False
CALLS_1DTE_1515,2025-03-27,500.0,-515.3816044719043,7,False
CALLS_1DTE_1515,2025-03-28,-500.0,-512.4343679801542,7,False
CALLS_1DTE_1515,2025-03-31,-480.0,-540.0150836813219,7,False
CALLS_1DTE_1515,2025-04-01,-510.0,-542.3833575043957,7,False
CALLS_1DTE_1515,2025-04-02,515.0,-520.6199450772448,7,False
CALLS_1DTE_1515,2025-04-03,510.0,-517.5858578307661,7,False
CALLS_1DTE_1515,2025-04-04,555.0,-517.5858578307661,7,False
CALLS_1DTE_1515,2025-04-07,525.0,-517.0767982107085,7,False
CALLS_1DTE_1515,2025-04-08,-465.0,-502.21542619543095,7,True
CALLS_1DTE_1515,2025-04-09,520.0,-538.8715546879669,7,False
CALLS_1DTE_1515,2025-04-10,-455.0,-517.5858578307661,7,False
CALLS_1DTE_1515,2025-04-11,-485.0,-533.2002967398404,7,False
CALLS_1DTE_1515,2025-04-14,525.0,-522.2191694731114,7,False
CALLS_1DTE_1515,2025-04-15,515.0,-536.3549211247378,7,False
CALLS_1DTE_1515,2025-04-16,-480.0,-533.3746296565597,7,False
CALLS_1DTE_1515,2025-04-17,500.0,-530.9354507537294,7,False
CALLS_1DTE_1515,2025-04-21,-490.0,-517.5858578307661,7,False
CALLS_1DTE_1515,2025-04-22,-480.0,-512.018789000833,7,False
CALLS_1DTE_1515,2025-04-23,-480.0,-515.6041933562617,7,False
CALLS_1DTE_1515,2025-04-24,-460.0,-517.4482250948215,7,False
CALLS_1DTE_1515,2025-04-25,-365.0,-538.7631915376866,7,False
CALLS_1DTE_1515,2025-04-28,-485.0,-539.2436735025135,7,False
CALLS_1DTE_1515,2025-04-29,119.0,-513.7821702299493,7,False
CALLS_1DTE_1515,2025-04-30,-480.0,-535.8358014417328,7,False
CALLS_1DTE_1515,2025-05-01,-475.0,-517.2626901897598,7,False
CALLS_1DTE_1515,2025-05-02,520.0,-508.17230358895733,7,False
CALLS_1DTE_1515,2025-05-05,500.0,-530.9967928687502,7,False
CALLS_1DTE_1515,2025-05-06,-143.0,-519.7755903754402,7,False
CALLS_1DTE_1515,2025-05-07,-495.0,-539.0406225233852,7,False
CALLS_1DTE_1515,2025-05-08,515.0,-538.6108578667942,7,False
CALLS_1DTE_1515,2025-05-09,-535.0,-550.8927122997827,7,False
CALLS_1DTE_1515,2025-05-12,-480.0,-526.2691982253009,7,False
CALLS_1DTE_1515,2025-05-13,470.0,-509.5435765634336,7,False
CALLS_1DTE_1515,2025-05-14,-500.0,-518.7161690257085,7,False
CALLS_1DTE_1515,2025-05-15,-470.0,-529.3818431035291,7,False
CALLS_1DTE_1515,2025-05-16,-370.0,-527.6500865117611,7,False
CALLS_1DTE_1515,2025-05-19,520.0,-494.2977643967076,8,False
CALLS_1DTE_1515,2025-05-20,470.0,-514.1797502023679,8,False
CALLS_1DTE_1515,2025-05-21,490.0,-503.44334361428696,8,False
CALLS_1DTE_1515,2025-05-22,520.0,-529.7248314845212,8,False
CALLS_1DTE_1515,2025-05-23,-485.0,-527.5714435385846,8,False
