book,open_date,pnl,DoW,Intraday_Move_OpenToEntry_11,Intraday_Move_OpenToEntry_1515,L1_SPX_ATR_Pct,L1_SPX_Drawdown_Pct,L1_TS,L1_VIX_Close,L1_VIX_pct,L1_rv20,L1_rv5,L1_vvix_above_ema20,L1_vvix_above_ema30,L1_vvix_close,L1_vvix_ema20,L1_vvix_ema30,L1_vvix_pct,VIX_Entry_11,VIX_Entry_1515,closing_vix,gap,movement,opening_vix,t0_VIX_change_from_close_11,t0_VIX_change_from_close_15
PUTS_1DTE_1515,2022-10-21,460.0,nan,20.41,90.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.9,29.92,nan,-8.68,90.18,nan,nan,nan
PUTS_1DTE_1515,2022-10-24,470.0,nan,14.25,45.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.36,30.29,nan,9.26,45.49,nan,nan,nan
PUTS_1DTE_1515,2022-10-25,-550.0,nan,33.66,55.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.18,28.41,nan,2.1,55.02,nan,nan,nan
PUTS_1DTE_1515,2022-10-26,-540.0,nan,34.68,5.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.59,28.09,nan,-33.14,5.7,nan,nan,nan
PUTS_1DTE_1515,2022-10-27,480.0,nan,-1.71,-22.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.25,27.15,nan,4.09,-22.26,nan,nan,nan
PUTS_1DTE_1515,2022-10-28,-550.0,nan,58.72,90.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.58,26.04,nan,0.96,90.96,nan,nan,nan
PUTS_1DTE_1515,2022-10-31,-545.0,nan,-10.66,-11.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.55,26.03,nan,-19.21,-11.99,nan,nan,nan
PUTS_1DTE_1515,2022-11-01,-530.0,nan,-52.53,-40.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.16,25.68,nan,29.81,-40.6,nan,nan,nan
PUTS_1DTE_1515,2022-11-02,-530.0,nan,-15.75,-31.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.31,25.68,nan,-3.2,-31.34,nan,nan,nan
PUTS_1DTE_1515,2022-11-03,485.0,nan,10.89,5.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.88,25.36,nan,-26.44,5.39,nan,nan,nan
PUTS_1DTE_1515,2022-11-04,410.0,nan,9.27,-10.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.09,24.61,nan,47.09,-10.02,nan,nan,nan
PUTS_1DTE_1515,2022-11-07,455.0,nan,3.51,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.86,24.39,nan,10.16,28.0,nan,nan,nan
PUTS_1DTE_1515,2022-11-08,-545.0,nan,22.05,8.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.32,25.51,nan,10.22,8.84,nan,nan,nan
PUTS_1DTE_1515,2022-11-09,490.0,nan,-21.32,-49.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.69,26.09,nan,-17.17,-49.45,nan,nan,nan
PUTS_1DTE_1515,2022-11-10,435.0,nan,52.32,80.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.04,23.36,nan,111.32,80.47,nan,nan,nan
PUTS_1DTE_1515,2022-11-11,-560.0,nan,7.57,21.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.8,22.77,nan,7.35,21.27,nan,nan,nan
PUTS_1DTE_1515,2022-11-14,440.0,nan,13.53,6.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.1,23.46,nan,-14.96,6.86,nan,nan,nan
PUTS_1DTE_1515,2022-11-15,-570.0,nan,4.19,-14.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.75,24.09,nan,49.16,-14.36,nan,nan,nan
PUTS_1DTE_1515,2022-11-16,-560.0,nan,-15.55,-18.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.3,24.17,nan,-14.91,-18.52,nan,nan,nan
PUTS_1DTE_1515,2022-11-17,460.0,nan,-8.14,8.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.71,24.05,nan,-39.53,8.42,nan,nan,nan
PUTS_1DTE_1515,2022-11-18,-550.0,nan,-15.98,-7.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.69,23.22,nan,19.83,-7.07,nan,nan,nan
PUTS_1DTE_1515,2022-11-21,460.0,nan,-12.98,-4.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.22,22.57,nan,-9.11,-4.31,nan,nan,nan
PUTS_1DTE_1515,2022-11-22,430.0,nan,16.05,33.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.91,21.45,nan,15.57,33.26,nan,nan,nan
PUTS_1DTE_1515,2022-11-23,17.0,nan,25.52,29.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.06,20.59,nan,-3.28,29.09,nan,nan,nan
PUTS_1DTE_1515,2022-11-28,198.0,nan,-15.26,-46.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.92,22.37,nan,-20.76,-46.2,nan,nan,nan
PUTS_1DTE_1515,2022-11-29,460.0,nan,3.54,-9.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.93,22.01,nan,0.25,-9.35,nan,nan,nan
PUTS_1DTE_1515,2022-11-30,420.0,nan,-11.93,88.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.12,20.68,nan,-0.45,88.14,nan,nan,nan
PUTS_1DTE_1515,2022-12-01,-360.0,nan,-8.64,-8.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.33,20.22,nan,7.03,-8.47,nan,nan,nan
PUTS_1DTE_1515,2022-12-02,-550.0,nan,3.49,37.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.62,19.06,nan,-36.4,37.22,nan,nan,nan
PUTS_1DTE_1515,2022-12-05,-580.0,nan,-16.12,-55.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.08,20.92,nan,-19.68,-55.73,nan,nan,nan
PUTS_1DTE_1515,2022-12-06,475.0,nan,-40.49,-69.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.61,22.19,nan,-2.21,-69.36,nan,nan,nan
PUTS_1DTE_1515,2022-12-07,440.0,nan,19.2,-5.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.3,22.82,nan,-7.98,-5.02,nan,nan,nan
PUTS_1DTE_1515,2022-12-08,-575.0,nan,19.52,8.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.61,22.19,nan,13.87,8.34,nan,nan,nan
PUTS_1DTE_1515,2022-12-09,450.0,nan,18.08,7.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.39,22.19,nan,-9.34,7.7,nan,nan,nan
PUTS_1DTE_1515,2022-12-12,470.0,nan,7.27,33.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.38,24.75,nan,4.91,33.68,nan,nan,nan
PUTS_1DTE_1515,2022-12-13,-488.0,nan,-24.21,-64.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.6,23.19,nan,78.82,-64.95,nan,nan,nan
PUTS_1DTE_1515,2022-12-14,-525.0,nan,27.22,10.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.22,21.19,nan,-4.11,10.55,nan,nan,nan
PUTS_1DTE_1515,2022-12-15,-545.0,nan,-51.71,-59.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.2,22.73,nan,-36.95,-59.96,nan,nan,nan
PUTS_1DTE_1515,2022-12-16,-530.0,nan,-43.32,-38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.15,22.2,nan,-4.84,-38.0,nan,nan,nan
PUTS_1DTE_1515,2022-12-19,425.0,nan,-19.82,-51.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.97,22.55,nan,1.43,-51.9,nan,nan,nan
PUTS_1DTE_1515,2022-12-20,415.0,nan,19.06,11.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.94,21.63,nan,-7.19,11.7,nan,nan,nan
PUTS_1DTE_1515,2022-12-21,-555.0,nan,42.37,37.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.19,20.27,nan,17.87,37.84,nan,nan,nan
PUTS_1DTE_1515,2022-12-22,420.0,nan,-45.94,-51.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.56,22.25,nan,-25.18,-51.55,nan,nan,nan
PUTS_1DTE_1515,2022-12-23,-580.0,nan,9.21,25.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.59,20.87,nan,-7.28,25.46,nan,nan,nan
PUTS_1DTE_1515,2022-12-27,-560.0,nan,-8.17,-9.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.32,21.68,nan,-1.48,-9.43,nan,nan,nan
PUTS_1DTE_1515,2022-12-28,435.0,nan,-19.81,-42.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.63,22.12,nan,0.31,-42.97,nan,nan,nan
PUTS_1DTE_1515,2022-12-29,-550.0,nan,41.19,44.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.55,21.52,nan,22.23,44.87,nan,nan,nan
PUTS_1DTE_1515,2022-12-30,440.0,nan,-9.9,-9.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.79,21.69,nan,-20.22,-9.4,nan,nan,nan
